LName,FName,MI,ANumber,Grad year,Sex,LVL,College,Degree,Program,Major1,Major2,Minor1,Minor2,Conc1,Conc2,Salary,Loans,StartDate,GraduatedAtUindy
Haynes,Joe,B,A00916774,201010,M,U,BN,BS,BS-BN,ACPA,,,,,,54,10,200810,0
Aguilar,Stella,P,A00985164,201020,M,U,BN,BS,BS-BN,ACPA,,ENTR,,,,23,42,200720,1
Knight,Micheal,X,A00969955,201020,F,U,BN,BS,BS-BN,ACPA,,,,,,57,35,200720,1
Houston,Sally,N,A00914226,201020,M,U,BN,BS,BS-BN,ACPA,,,,,,61,91,200720,0
Martin,Roger,N,A00969747,201020,M,U,BN,BS,BS-BN,ACPA,,,,,,41,17,200520,1
Duncan,Lula,S,A00926661,201020,F,U,BN,BS,BS-BN,ACPA,,,,,,67,43,200620,1
Harper,Bobby,W,A00906125,201120,F,U,BN,BS,BS-BN,ACPA,FIN,,,HON,,58,16,200720,0
Dean,Tyler,P,A00959319,201120,M,U,BN,BS,BS-BN,ACPA,,,,,,65,59,201020,0
Butler,Laura,E,A00947627,201120,F,U,BN,BS,BS-BN,ACPA,,,,,,48,53,200620,0
Hampton,Annie,V,A00931829,201110,F,U,BN,BA,BA-BN,ACPA,SPAN,ENPW,,,,47,84,201010,1
Brady,Robert,L,A00922119,201120,M,U,BN,BA,BA-BN,ACPA,SPAN,ENPW,,,,57,52,200620,0
Duncan,Christopher,Q,A00926779,201120,F,U,BN,BA,BA-BN,ACPA,SPAN,ENPW,,,,51,89,200620,1
Hansen,Ivan,M,A00918084,201110,F,U,BN,BS,BS-BN,ACPA,,,,,,53,60,200710,1
Castillo,Terry,L,A00964765,201120,M,U,BN,BS,BS-BN,ACPA,,CRIM,,,,49,74,200920,1
Burgess,Landon,K,A00906430,201120,F,U,BN,BS,BS-BN,ACPA,,ENTR,,,,61,38,200520,1
Kim,Myrtle,F,A00992197,201110,M,U,BN,BS,BS-BN,ACPA,,ENTR,,,,62,77,201010,1
Patterson,Oscar,H,A00916537,201120,M,U,BN,BS,BS-BN,ACPA,,,,,,44,63,200620,1
Walters,William,N,A00917087,201120,F,U,BN,BS,BS-BN,ACPA,,,,,,52,83,200920,1
Santiago,Jessie,L,A00910750,201120,F,U,BN,BS,BS-BN,ACPA,,CRIM,,,,32,78,200720,0
Dawson,Vincent,E,A00913146,201220,M,U,BN,BS,BS-BN,ACPA,,FIN,,,,51,76,200720,1
Jefferson,Julian,Z,A00982081,201220,M,U,BN,BS,BS-BN,ACPA,,,,,,42,32,200820,0
Atkins,Erik,O,A00993826,201220,F,U,BN,BA,BA-BN,ACPA,SPAN,ENPW,,,,61,97,200620,1
Strickland,Marc,K,A00990841,201220,M,U,BN,BS,BS-BN,ACPA,FIN,,,HON,,49,23,200820,1
Castro,Cora,Y,A00969634,201220,F,U,BN,BS,BS-BN,ACPA,,,,,,45,91,201120,1
Munoz,Allen,F,A00926006,201220,F,U,BN,BS,BS-BN,ACPA,,,,,,74,81,200720,1
Griffith,Gussie,C,A00922823,201220,F,U,BN,BS,BS-BN,ACPA,,,,,,35,68,201020,1
Wise,Jordan,T,A00991042,201220,M,U,BN,BS,BS-BN,ACPA,,,,,,48,81,200820,1
Garza,Gregory,R,A00970143,201220,F,U,BN,BS,BS-BN,ACPA,,MATH,SPAN,,,53,43,201020,1
Tran,George,W,A00963042,201220,M,U,BN,BS,BS-BN,ACPA,,,,,,38,96,201120,1
Gutierrez,Bertha,S,A00913135,201220,F,U,BN,BS,BS-BN,ACPA,,CRIM,,,,62,76,200720,1
Griffith,Harvey,I,A00978673,201210,M,U,BN,BS,BS-BN,ACPA,,,,,,69,61,200910,1
Mills,Aiden,F,A00916259,201220,M,U,BN,BS,BS-BN,ACPA,,,,,,73,81,200820,1
Barnes,Jim,X,A00925426,201320,M,U,BN,BS,BS-BN,ACPA,,,,,,22,91,201220,1
Diaz,Francis,H,A00903952,201320,M,U,BN,BS,BS-BN,ACPA,,,,,,49,59,201120,1
Lawrence,Walter,G,A00998336,201320,F,U,BN,BS,BS-BN,ACPA,,ENTR,,,,52,15,201120,1
Olson,Billy,I,A00944010,201320,M,U,BN,BS,BS-BN,ACPA,,MATH,SPAN,,,61,90,201120,1
Hart,Landon,V,A00933210,201320,F,U,BN,BS,BS-BN,ACPA,,,,,,45,77,200920,1
Logan,Hallie,I,A00983412,201320,F,U,BN,BS,BS-BN,ACPA,,,,,,30,65,200920,1
Moss,Callie,W,A00930213,201320,F,U,BN,BS,BS-BN,ACPA,,,,,,49,68,200920,1
Carr,Cameron,K,A00904863,201320,F,U,BN,BS,BS-BN,ACPA,,FIN,,,,71,49,201220,0
Martin,Julia,M,A00975150,201320,F,U,BN,BS,BS-BN,ACPA,,,,,,77,43,200720,0
Warren,Frederick,A,A00981518,201320,F,U,BN,BS,BS-BN,ACPA,,FIN,,,,54,64,200720,0
Klein,Max,Q,A00945673,201320,F,U,BN,BS,BS-BN,ACPA,,,,,,69,70,201020,1
Morales,Bradley,N,A00936335,201320,F,U,BN,BA,BA-BN,ACPA,SPAN,ENPW,,,,54,78,200720,1
Fleming,Estella,I,A00918116,201320,M,U,BN,BS,BS-BN,ACPA,,,,,,39,80,200920,1
Saunders,Sue,U,A00944121,201420,M,U,BN,BS,BS-BN,ACPA,,,,,,47,50,200920,0
Nunez,Maria,A,A00948531,201410,F,U,BN,BS,BS-BN,ACPA,,,,,,48,68,201010,1
Harmon,Alfred,Y,A00914650,201420,F,U,BN,BS,BS-BN,ACPA,,FIN,,,,58,27,200920,0
Sutton,Cole,N,A00904823,201420,F,U,BN,BS,BS-BN,ACPA,,,,,,37,17,200820,0
Austin,Gavin,Q,A00935762,201410,F,U,BN,BS,BS-BN,ACPA,,MATH,SPAN,,,53,76,201210,1
Mendez,Catherine,I,A00961299,201420,M,U,BN,BS,BS-BN,ACPA,,MATH,SPAN,,,72,36,201120,1
Hubbard,Aiden,M,A00991668,201420,F,U,BN,BS,BS-BN,ACPA,,,,,,34,52,200820,1
Stephens,Randy,J,A00943750,201420,F,U,BN,BS,BS-BN,ACPA,,CRIM,,,,59,86,200820,1
Lane,Lelia,J,A00916731,201420,M,U,BN,BS,BS-BN,ACPA,,SCM,,,,62,67,201120,1
Wheeler,Tony,Y,A00915675,201420,M,U,BN,BS,BS-BN,ACPA,,,,,,56,61,201020,0
Jefferson,Mabelle,F,A00977869,201420,M,U,BN,BS,BS-BN,ACPA,,SCM,,,,63,72,200820,1
Flores,Norman,Z,A00957632,201520,F,U,BN,BS,BS-BN,ACPA,,,,,,46,46,201320,1
Fernandez,Madge,X,A00987808,201520,F,U,BN,BS,BS-BN,ACPA,,MATH,SPAN,,,49,20,200920,1
Rice,Marc,W,A00979833,201520,F,U,BN,BS,BS-BN,ACPA,,,,,,62,18,201220,1
Sutton,Nelle,W,A00997773,201520,M,U,BN,BS,BS-BN,ACPA,,,,,,46,44,201420,1
Newman,Della,L,A00941736,201510,M,U,BN,BS,BS-BN,ACPA,,,,,,58,46,201210,0
Newman,Louisa,X,A00955431,201520,M,U,BN,BS,BS-BN,ACPA,,,,,,50,29,201420,1
Weber,Tillie,Z,A00902948,201520,F,U,BN,BS,BS-BN,ACPA,,,,,,61,84,201420,1
Griffin,Gabriel,P,A00905131,201520,M,U,BN,BS,BS-BN,ACPA,,,,,,57,16,201220,1
Griffin,Jorge,G,A00994020,201510,F,U,BN,BS,BS-BN,ACPA,,,,,,65,76,200910,1
Burke,Duane,G,A00997166,201510,F,U,BN,BS,BS-BN,ACPA,FIN,,,HON,,52,56,201410,1
Hunter,Hester,Q,A00917724,201520,F,U,BN,BS,BS-BN,ACPA,,FIN,,,,58,70,200920,1
Santiago,Troy,C,A00980740,201620,M,U,BN,BS,BS-BN,ACPA,,FIN,,,,58,10,201220,1
Lowe,Andre,V,A00936785,201620,M,U,BN,BS,BS-BN,ACPA,,,,,,52,48,201520,0
Morrison,Frances,D,A00991243,201610,F,U,BN,BS,BS-BN,ACPA,,ENTR,,,,39,25,201210,1
Gibson,Eleanor,P,A00971227,201620,M,U,BN,BS,BS-BN,ACPA,,,,,,50,40,201420,1
Pearson,Harry,K,A00929095,201620,M,U,BN,BS,BS-BN,ACPA,,CRIM,,,,34,21,201520,1
Moore,Carlos,B,A00993352,201620,F,U,BN,BA,BA-BN,ACPA,SPAN,ENPW,,,,52,43,201120,0
Bowman,Tony,H,A00916471,201610,M,U,BN,BS,BS-BN,ACPA,,MATH,SPAN,,,48,20,201510,1
Hubbard,Bertha,B,A00935256,201720,F,U,BN,BS,BS-BN,ACPA,,,,,,58,93,201120,1
Mullins,Betty,I,A00979043,201720,M,U,BN,BS,BS-BN,ACPA,FIN,,,HON,,54,57,201620,0
Chambers,Richard,N,A00938610,201710,M,U,BN,BS,BS-BN,ACPA,,SCM,,,,55,80,201510,0
Hart,Jeffrey,G,A00957334,201720,M,U,BN,BS,BS-BN,ACPA,,CRIM,,,,51,42,201220,1
Patterson,Lucas,T,A00992481,201720,F,U,BN,BS,BS-BN,ACPA,,SCM,,,,41,73,201320,0
Thomas,Helen,X,A00969832,201710,F,U,BN,BS,BS-BN,ACPA,,,,,,59,75,201410,1
Brown,Albert,K,A00927713,201720,M,U,BN,BA,BA-BN,ACPA,SPAN,ENPW,,,,53,91,201520,0
Sutton,Caroline,N,A00915799,201710,M,U,BN,BS,BS-BN,ACPA,,CRIM,,,,57,38,201310,1
Thompson,Joseph,R,A00974684,201020,F,U,AS,BS,BS-AS,ACTS,,MATH,,,,56,29,200920,1
McKinney,Marcus,X,A00990599,201020,F,U,AS,BS,BS-AS,ACTS,,,,,,58,81,200820,0
White,Garrett,V,A00936409,201120,M,U,AS,BS,BS-AS,ACTS,,MATH,,HON,,54,38,200920,0
Tate,Jonathan,K,A00945703,201120,F,U,AS,BS,BS-AS,ACTS,,,,,,39,80,200820,1
Warner,Josie,V,A00958399,201220,F,U,AS,BS,BS-AS,ACTS,,,,,,54,87,200720,0
Rios,Harriett,J,A00959856,201220,F,U,AS,BS,BS-AS,ACTS,,MATH,,,,57,100,200620,1
McKenzie,Theodore,C,A00958794,201320,F,U,AS,BS,BS-AS,ACTS,,MATH,,HON,,58,80,201120,1
Owens,Celia,A,A00997705,201310,F,U,AS,BS,BS-AS,ACTS,,MATH,,,,49,93,200910,1
Hammond,Birdie,G,A00971792,201420,M,U,AS,BS,BS-AS,ACTS,,MATH,FIN,,,55,25,201120,1
Turner,Jordan,X,A00933677,201420,F,U,AS,BS,BS-AS,ACTS,,MATH,,HON,,41,50,201020,1
Brewer,Katie,Z,A00910974,201510,F,U,AS,BS,BS-AS,ACTS,,MATH,,,,76,57,201410,0
Herrera,Nicholas,V,A00931183,201510,F,U,AS,BS,BS-AS,ACTS,,MATH,FIN,,,46,44,201210,0
Owen,Ronald,Z,A00997430,201610,M,U,AS,BS,BS-AS,ACTS,,,,,,39,83,201310,0
Castro,Jeffrey,P,A00928889,201610,F,U,AS,BS,BS-AS,ACTS,,,,,,48,13,201310,1
Leonard,Ethel,I,A00978647,201710,M,U,AS,BS,BS-AS,ACTS,,,,,,54,56,201110,1
Rios,Maud,P,A00938783,201720,M,U,AS,BS,BS-AS,ACTS,,MATH,,HON,,49,43,201420,1
Silva,Charlie,T,A00921733,201020,F,G,NU,MSN,MSN-NU,AGNP,,,,,,62,88,200720,0
Mason,Ronnie,S,A00956945,201010,F,G,NU,MSN,MSN-NU,AGNP,,,,,,42,67,200510,1
Henry,Lucy,S,A00982490,201010,F,G,NU,MSN,MSN-NU,AGNP,,,,,,35,97,200510,1
Cooper,Mollie,K,A00901222,201120,F,G,NU,MSN,MSN-NU,AGNP,,,,,,29,35,200820,1
Aguilar,Roxie,E,A00947759,201120,F,G,NU,MSN,MSN-NU,AGNP,,,,,,36,85,200820,1
Bennett,Trevor,E,A00900579,201120,F,G,NU,MSN,MSN-NU,AGNP,,,,,,48,33,200620,0
Wolfe,Trevor,F,A00941931,201210,F,G,NU,MSN,MSN-NU,AGNP,,,,,,66,18,200610,1
Blake,Maud,O,A00900113,201210,F,G,NU,MSN,MSN-NU,AGNP,,,,,,42,44,200810,1
Clark,Olga,Q,A00931939,201320,F,G,NU,MSN,MSN-NU,AGNP,,,,,,47,72,200820,1
Foster,Ivan,Z,A00975114,201310,F,G,NU,MSN,MSN-NU,AGNP,,,,,,69,77,201010,0
Hogan,Nelle,F,A00921869,201420,F,G,NU,MSN,MSN-NU,AGNP,,,,,,49,24,201320,1
Kim,Mayme,I,A00982993,201420,F,G,NU,MSN,MSN-NU,AGNP,,,,,,39,52,200920,1
Newton,Elnora,L,A00909948,201510,F,G,NU,MSN,MSN-NU,AGNP,,,,,,47,69,201310,1
Schultz,Mayme,N,A00915333,201620,F,G,NU,MSN,MSN-NU,AGNP,,,,,,42,23,201020,1
Soto,Francis,D,A00925422,201720,F,G,NU,MSN,MSN-NU,AGNP,,,,,,38,94,201320,1
Hawkins,Ora,K,A00939454,201020,F,G,AS,MS,MS-AS,ANAT,,,,,,51,58,200820,1
Smith,Rosetta,R,A00935536,201020,F,G,AS,MS,MS-AS,ANAT,,,,,,44,63,200520,1
Collins,Leona,Y,A00901200,201120,F,G,AS,MS,MS-AS,ANAT,,,,,,71,83,200720,0
Powell,Augusta,Z,A00977683,201120,F,G,AS,MS,MS-AS,ANAT,,,,,,63,41,201020,0
Lindsey,Marie,D,A00941313,201220,F,G,AS,MS,MS-AS,ANAT,,,,,,57,92,200920,1
Bradley,Hattie,K,A00919785,201210,F,G,AS,MS,MS-AS,ANAT,,,,,,49,37,200810,1
Houston,Wesley,E,A00949040,201310,F,G,AS,MS,MS-AS,ANAT,,,,,,52,92,200810,1
Obrien,Vera,A,A00912099,201320,F,G,AS,MS,MS-AS,ANAT,,,,,,53,11,201020,1
Gonzales,Nannie,Z,A00905211,201420,F,G,AS,MS,MS-AS,ANAT,,,,,,59,42,201020,1
Manning,Scott,D,A00964827,201420,F,G,AS,MS,MS-AS,ANAT,,,,,,54,100,200920,1
Silva,Florence,B,A00904362,201520,F,G,AS,MS,MS-AS,ANAT,,,,,,57,93,201220,1
Cain,Julia,K,A00996325,201620,F,G,AS,MS,MS-AS,ANAT,,,,,,55,68,201020,1
Steele,Lawrence,F,A00914073,201720,F,G,AS,MS,MS-AS,ANAT,,,,,,58,28,201220,1
Terry,Nicholas,R,A00921057,201020,F,U,AS,BA,BA-AS,ANTH,,BIOL,ARCH,AHTH,,56,81,200820,0
Hogan,Curtis,E,A00964476,201020,F,U,AS,BA,BA-AS,ANTH,,HIST,,FOUR,,55,36,200720,0
Cummings,Louise,P,A00988521,201020,M,U,AS,BA,BA-AS,ANTH,,,,AHTH,,34,78,200920,1
Keller,Curtis,F,A00959376,201020,F,U,AS,BA,BA-AS,ANTH,,HBIO,,FOUR,,48,39,200420,0
Green,Larry,U,A00978135,201020,F,U,AS,BA,BA-AS,ANTH,,HIST,,FOUR,,54,10,200720,1
Taylor,Lelia,P,A00923749,201120,F,U,AS,BA,BA-AS,ANTH,,BIOL,ARCH,AHTH,,57,31,200720,0
Thompson,Mayme,H,A00919489,201120,F,U,AS,BA,BA-AS,ANTH,,,,AHTH,,57,20,201020,1
Cook,Alberta,D,A00944345,201120,F,U,AS,BA,BA-AS,ANTH,,,,AHTH,,60,64,200820,1
Peters,Norman,R,A00967797,201110,F,U,AS,BA,BA-AS,ANTH,,HIST,,FOUR,,44,53,200810,1
Simon,Nelle,L,A00965735,201120,F,U,AS,BA,BA-AS,ANTH,,,,AHTH,,27,50,200520,1
Hansen,Virgie,S,A00990674,201220,F,U,AS,BA,BA-AS,ANTH,,,,AHTH,,52,88,200620,0
Curry,Luella,E,A00943083,201210,M,U,AS,BA,BA-AS,ANTH,,SOC,,,,47,40,200610,1
Adams,Martin,Q,A00944689,201220,F,U,AS,BA,BA-AS,ANTH,HIST,,,,,35,48,200620,1
Tucker,Mitchell,T,A00908917,201210,F,U,AS,BA,BA-AS,ANTH,,,,AHTH,,45,24,201010,0
Jenkins,Caleb,L,A00928333,201210,F,U,AS,BA,BA-AS,ANTH,,HIST,,FOUR,,47,26,200710,0
Stevenson,Hallie,C,A00922503,201320,F,U,AS,BA,BA-AS,ANTH,,,,AHTH,,49,60,201220,0
Johnson,Francis,Z,A00902302,201320,F,U,AS,BA,BA-AS,ANTH,,BIOL,ARCH,AHTH,,42,40,201220,1
Pierce,Gary,T,A00950578,201320,F,U,AS,BA,BA-AS,ANTH,,SOC,,FOUR,,55,95,200820,0
Hunter,Alejandro,E,A00919274,201320,F,U,AS,BA,BA-AS,ANTH,,,,CELS,,54,98,200920,1
Bass,Josephine,W,A00921970,201320,F,U,AS,BA,BA-AS,ANTH,,,,AHTH,,62,26,201220,1
Miles,Gilbert,X,A00987739,201420,F,U,AS,BA,BA-AS,ANTH,,,,CELS,,43,10,200820,0
Matthews,Oscar,C,A00903794,201420,F,U,AS,BA,BA-AS,ANTH,,HBIO,,FOUR,,58,96,201020,1
McCoy,Mamie,U,A00996995,201410,F,U,AS,BA,BA-AS,ANTH,,HIST,,FOUR,,50,10,200810,1
Hines,Harold,L,A00985255,201410,F,U,AS,BA,BA-AS,ANTH,,,,AHTH,,63,69,200810,1
Berry,Clarence,L,A00921737,201420,F,U,AS,BA,BA-AS,ANTH,,HIST,,FOUR,,42,82,201320,1
Lopez,Gary,Q,A00915233,201520,F,U,AS,BA,BA-AS,ANTH,HIST,,,,,49,73,201120,1
Bryan,Lucas,L,A00912053,201520,F,U,AS,BA,BA-AS,ANTH,,,,AHTH,,38,42,201020,1
Simmons,Lena,Z,A00988439,201520,F,U,AS,BA,BA-AS,ANTH,,SOC,,FOUR,,54,44,201220,1
Reed,Gussie,T,A00907048,201520,F,U,AS,BA,BA-AS,ANTH,,SOC,,,,42,55,201420,1
Bowman,Gilbert,G,A00924957,201620,F,U,AS,BA,BA-AS,ANTH,,SOC,,FOUR,,46,56,201120,1
Alexander,Juan,W,A00984178,201620,F,U,AS,BA,BA-AS,ANTH,,,,AHTH,,45,29,201120,1
Flowers,Aaron,W,A00965582,201620,F,U,AS,BA,BA-AS,ANTH,HIST,,,,,55,19,201020,0
McLaughlin,Jeffrey,Q,A00900329,201610,M,U,AS,BA,BA-AS,ANTH,HIST,,,,,54,65,201110,0
Taylor,Ray,I,A00952362,201720,F,U,AS,BA,BA-AS,ANTH,,HIST,,FOUR,,52,31,201520,1
Briggs,Shane,I,A00943306,201720,F,U,AS,BA,BA-AS,ANTH,,CRIM,,FOUR,,41,36,201120,0
Hart,Jeanette,N,A00909478,201720,F,U,AS,BA,BA-AS,ANTH,,BIOL,ARCH,AHTH,,58,16,201320,1
Hammond,Timothy,Z,A00987950,201720,F,U,AS,BA,BA-AS,ANTH,,SOC,,FOUR,,56,90,201120,1
Weaver,Jared,O,A00946691,201020,F,U,AS,BS,BS-AS,ARCH,ANTH,,,,,52,81,200420,0
Cummings,Darrell,L,A00906085,201020,F,U,AS,BS,BS-AS,ARCH,,GEOL,,,,40,55,200820,0
Jackson,Chad,H,A00959369,201020,M,U,AS,BS,BS-AS,ARCH,,REL,,,,41,61,200720,1
Hines,Scott,A,A00987187,201020,F,U,AS,BS,BS-AS,ARCH,,GEOL,,,,33,29,200620,1
Simmons,Victor,G,A00904723,201020,M,U,AS,BS,BS-AS,ARCH,,GEOL,,,,57,78,200920,1
Peters,Leroy,H,A00906557,201020,M,U,AS,BS,BS-AS,ARCH,,,,,,58,61,200420,1
Gutierrez,Leo,O,A00909006,201120,M,U,AS,BS,BS-AS,ARCH,,GEOL,,,,40,36,200620,1
Bryant,Delia,M,A00956735,201110,F,U,AS,BS,BS-AS,ARCH,,GEOL,,,,45,57,200910,1
Sutton,Emily,C,A00945283,201110,M,U,AS,BS,BS-AS,ARCH,ANTH,,,,,46,20,200910,1
Hale,Rena,I,A00980353,201110,M,U,AS,BS,BS-AS,ARCH,,GEOL,,,,52,74,200710,1
Ryan,Lewis,Z,A00960271,201120,F,U,AS,BS,BS-AS,ARCH,ANTH,,,FOUR,,52,59,200720,0
Mathis,Bradley,F,A00963989,201120,F,U,AS,BS,BS-AS,ARCH,,ANTH,,,,45,19,200620,1
Graham,Adelaide,W,A00990773,201210,F,U,AS,BS,BS-AS,ARCH,,,,,,31,61,200610,1
Allen,Ruth,X,A00995068,201220,F,U,AS,BS,BS-AS,ARCH,,,,,,62,72,201120,1
Adams,Gary,D,A00918577,201210,F,U,AS,BS,BS-AS,ARCH,,GEOL,,,,65,31,201110,1
Lucas,Ollie,J,A00970836,201210,M,U,AS,BS,BS-AS,ARCH,,,,,,45,51,200610,1
Houston,Alex,Y,A00918675,201210,M,U,AS,BS,BS-AS,ARCH,ANTH,,,FOUR,,63,39,200910,1
McLaughlin,Lewis,T,A00963265,201310,F,U,AS,BS,BS-AS,ARCH,,,,,,51,74,200910,1
Gilbert,Virginia,D,A00973145,201310,F,U,AS,BS,BS-AS,ARCH,,REL,,,,56,22,200810,0
Delgado,Lucile,N,A00957416,201320,F,U,AS,BS,BS-AS,ARCH,,,,,,41,81,201020,1
Castro,Emily,M,A00990073,201320,M,U,AS,BS,BS-AS,ARCH,,GEOL,,,,45,36,201020,1
Leonard,Edwin,L,A00938009,201310,F,U,AS,BS,BS-AS,ARCH,,,,,,43,20,201210,0
Moody,Genevieve,I,A00945642,201420,F,U,AS,BS,BS-AS,ARCH,,GEOL,,,,65,10,201220,0
Caldwell,Gabriel,Q,A00926746,201420,M,U,AS,BS,BS-AS,ARCH,ANTH,,,FOUR,,59,56,200920,0
Jordan,Luis,Q,A00986584,201420,F,U,AS,BS,BS-AS,ARCH,,,,,,38,82,201320,0
Williams,Lucy,V,A00997089,201420,M,U,AS,BS,BS-AS,ARCH,,,,,,48,75,200920,1
Brown,Gussie,W,A00907695,201420,M,U,AS,BS,BS-AS,ARCH,,ANTH,,,,38,44,201020,0
Wong,Kevin,N,A00970121,201520,M,U,AS,BS,BS-AS,ARCH,,,,,,56,68,200920,1
Hill,Mary,D,A00955401,201520,F,U,AS,BS,BS-AS,ARCH,,GEOL,,,,48,55,201120,1
Daniels,Hunter,U,A00941300,201520,M,U,AS,BS,BS-AS,ARCH,,GEOL,,,,39,35,201020,0
Schwartz,Hilda,G,A00943859,201510,M,U,AS,BS,BS-AS,ARCH,ANTH,,,FOUR,,59,31,201410,1
Glover,Lucas,V,A00978408,201610,F,U,AS,BS,BS-AS,ARCH,,GEOL,,,,52,70,201510,0
Ortiz,Minnie,I,A00945507,201620,M,U,AS,BS,BS-AS,ARCH,,,,,,60,21,201120,1
Horton,Madge,F,A00937191,201620,M,U,AS,BS,BS-AS,ARCH,,GEOL,,,,46,58,201320,0
Padilla,Ina,I,A00969111,201610,M,U,AS,BS,BS-AS,ARCH,ANTH,,,FOUR,,45,86,201410,1
Harris,Jessie,I,A00999481,201610,F,U,AS,BS,BS-AS,ARCH,,GEOL,,,,55,50,201410,1
Young,Dustin,T,A00951756,201720,M,U,AS,BS,BS-AS,ARCH,,ANTH,,,,63,15,201120,0
Jones,Micheal,Y,A00993935,201720,F,U,AS,BS,BS-AS,ARCH,,ANTH,,,,51,68,201220,1
Schneider,Anthony,U,A00917917,201720,M,U,AS,BS,BS-AS,ARCH,,,,,,43,36,201320,1
Curtis,Aiden,L,A00991059,201720,M,U,AS,BS,BS-AS,ARCH,,REL,,,,59,31,201520,1
Gardner,Steven,G,A00959875,201020,F,U,AS,BS,BS-AS,ART5,,HART,,,,40,95,200620,1
Kelly,Helen,E,A00921761,201120,F,U,AS,BS,BS-AS,ART5,,,,,,62,19,200820,1
Martin,Mabelle,W,A00957999,201220,F,U,AS,BS,BS-AS,ART5,,,,,,62,94,200920,1
Gibbs,Augusta,M,A00984541,201320,F,U,AS,BS,BS-AS,ART5,,HART,,,,48,82,200820,1
Craig,Matthew,V,A00973302,201320,F,U,AS,BA,BA-AS,ART5,,SPAN,,,,47,93,201020,1
Moran,Laura,O,A00905834,201420,F,U,AS,BS,BS-AS,ART5,,,,,,50,48,200920,1
Martinez,Adelaide,E,A00999367,201410,F,U,AS,BS,BS-AS,ART5,,HART,,,,48,36,201110,1
